,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Web Link
257,Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,Varies with device,"100,000,000+",Free,0,Mature 17+,Action,"August 2, 2018",Varies with device,Varies with device,
258,Pixel Art: Color by Number Game,GAME,4.7,1125438,25M,"10,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up,
259,Shoot Bubble - Fruit Splash,GAME,4.6,29445,29M,"5,000,000+",Free,0,Everyone,Casual,"May 11, 2018",14.0,4.0.3 and up,https://play.google.com/store/apps/details?id=bubble.shoot.fruit.splash.game2
260,Rider,GAME,4.5,655145,72M,"10,000,000+",Free,0,Teen,Arcade,"July 17, 2017",1.2.1,4.0.3 and up,https://play.google.com/store/apps/details?id=com.uen.rider
261,Zombie Tsunami,GAME,4.4,4921451,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami
262,Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,
263,Doodle Jump,GAME,4.3,1083571,Varies with device,"50,000,000+",Free,0,Everyone,Arcade,"July 20, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.free.savedoodle
264,Subway Surfers,GAME,4.5,27725352,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
265,Helix Jump,GAME,4.2,1500999,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,https://play.google.com/store/apps/details?id=com.shah.helixjump
266,Crossy Road,GAME,4.5,4230886,60M,"100,000,000+",Free,0,Everyone,Action,"August 1, 2018",3.1.0,5.0 and up,https://play.google.com/store/apps/details?id=com.yodo1.crossyroad
267,Temple Run 2,GAME,4.3,8119154,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,https://play.google.com/store/apps/details?id=com.imangi.templerun2
268,slither.io,GAME,4.4,5235294,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up,https://play.google.com/store/apps/details?id=air.com.hypah.io.slither
269,Bowmasters,GAME,4.7,1535973,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up,https://play.google.com/store/apps/details?id=com.miniclip.bowmasters
270,Talking Tom Gold Run,GAME,4.6,2698889,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up,https://play.google.com/store/apps/details?id=com.outfit7.talkingtomgoldrun
271,Zombie Catchers,GAME,4.7,990663,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,
272,Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,Varies with device,"100,000,000+",Free,0,Mature 17+,Action,"August 2, 2018",Varies with device,Varies with device,
273,Swamp Attack,GAME,4.4,2119218,70M,"50,000,000+",Free,0,Everyone 10+,Action,"June 29, 2018",3.0.1,4.1 and up,https://play.google.com/store/apps/details?id=com.outfit7.movingeye.swampattack
274,Earn to Die 2,GAME,4.6,1327265,99M,"50,000,000+",Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up,https://play.google.com/store/apps/details?id=com.notdoppler.earntodie2
275,Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,184210,99M,"10,000,000+",Free,0,Everyone,Action,"July 30, 2018",1.0.6,4.4 and up,
276,Kick the Buddy,GAME,4.3,1003269,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 5, 2018",Varies with device,4.4 and up,https://play.google.com/store/apps/details?id=com.playgendary.kickthebuddy
277,Hungry Shark World,GAME,4.5,1242855,27M,"50,000,000+",Free,0,Teen,Action,"July 18, 2018",3.0.0,4.2 and up,https://play.google.com/store/apps/details?id=com.ubisoft.hungrysharkworld
278,Dude Perfect 2,GAME,4.5,401425,70M,"10,000,000+",Free,0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.dudeperfect
279,Shadow Fight 2,GAME,4.6,10979062,88M,"100,000,000+",Free,0,Everyone 10+,Action,"July 2, 2018",1.9.38,3.0 and up,https://play.google.com/store/apps/details?id=com.nekki.shadowfight
280,Alto's Adventure,GAME,4.6,515657,63M,"10,000,000+",Free,0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up,https://play.google.com/store/apps/details?id=com.noodlecake.altosadventure
281,DEER HUNTER 2018,GAME,4.3,955656,82M,"10,000,000+",Free,0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up,
282,DRAGON BALL LEGENDS,GAME,4.6,337913,48M,"5,000,000+",Free,0,Teen,Action,"August 3, 2018",1.11.0,6.0 and up,https://play.google.com/store/apps/details?id=com.bandainamcoent.dblegends_ww
283,DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468591,Varies with device,"50,000,000+",Free,0,Mature 17+,Action,"July 23, 2018",Varies with device,Varies with device,
284,Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,"10,000,000+",Free,0,Teen,Action,"August 3, 2018",1.8.20,4.1 and up,
285,Anger of stick 5 : zombie,GAME,4.5,549039,23M,"50,000,000+",Free,0,Teen,Action,"August 3, 2018",1.1.5,2.3 and up,https://play.google.com/store/apps/details?id=jpark.AOS5
286,CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,"50,000,000+",Free,0,Everyone,Action,"July 9, 2018",2.11.1,4.1 and up,https://play.google.com/store/apps/details?id=com.zeptolab.cats.google
287,Soul Knight,GAME,4.7,292164,59M,"10,000,000+",Free,0,Everyone 10+,Action,"August 1, 2018",1.8.4,4.1 and up,https://play.google.com/store/apps/details?id=com.ChillyRoom.DungeonShooter
288,Major Mayhem,GAME,4.6,520962,39M,"10,000,000+",Free,0,Teen,Action,"June 28, 2017",108,4.0 and up,https://play.google.com/store/apps/details?id=com.turner.asmajormayhem
289,DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54M,"10,000,000+",Free,0,Teen,Action,"March 14, 2017",3.1.1,3.0 and up,https://play.google.com/store/apps/details?id=com.glu.dino
290,Strawberry Shortcake BerryRush,GAME,4.3,525517,48M,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,"October 15, 2017",1.2.3,2.3 and up,
291,Extreme Match,GAME,4.5,696,Varies with device,"100,000+",Free,0,Everyone,Action,"July 5, 2018",1.1.7,4.1 and up,
292,Power Rangers Dino Charge,GAME,4.3,194969,30M,"10,000,000+",Free,0,Everyone 10+,Action,"January 29, 2018",1.4.0,4.1 and up,
293,Zombie Hunter: Post Apocalypse Survival Games,GAME,4.4,327599,66M,"10,000,000+",Free,0,Teen,Action,"July 28, 2017",2.4.2,2.3.3 and up,
294,Agar.io,GAME,4.2,3816799,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.agar.io
295,Zombie Hunter King,GAME,4.3,10538,50M,"1,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up,https://play.google.com/store/apps/details?id=com.mobirix.zombieking
296,Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,
297,Battlelands Royale,GAME,4.4,105620,61M,"1,000,000+",Free,0,Everyone 10+,Action,"July 16, 2018",0.5.8,4.1 and up,https://play.google.com/store/apps/details?id=com.futureplay.battleground
298,Once Upon a Tower,GAME,4.7,37139,49M,"1,000,000+",Free,0,Everyone 10+,Action,"January 24, 2018",8,4.1 and up,https://play.google.com/store/apps/details?id=com.pomelogames.TowerGame
299,TEKKEN™,GAME,4.2,147791,38M,"5,000,000+",Free,0,Teen,Action,"July 26, 2018",1.3,5.0 and up,
300,diep.io,GAME,4.1,347883,20M,"10,000,000+",Free,0,Everyone,Action,"March 16, 2018",1.2.7,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.diep.io
301,Arrow.io,GAME,4.5,343263,Varies with device,"10,000,000+",Free,0,Everyone 10+,Action,"August 6, 2018",1.2.6,4.0.3 and up,
302,BEYBLADE BURST app,GAME,4.5,216849,Varies with device,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,"July 16, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.hasbro.beybladesenterprise
303,Dragon Hills,GAME,4.5,354373,66M,"10,000,000+",Free,0,Everyone 10+,Action,"October 12, 2017",1.2.7,4.1 and up,https://play.google.com/store/apps/details?id=com.rebeltwins.dragonhills
304,Bus Rush: Subway Edition,GAME,4.1,753043,57M,"100,000,000+",Free,0,Teen,Action,"August 1, 2018",1.15.2,4.0.3 and up,
305,DC Super Hero Girls™,GAME,4.3,43055,95M,"5,000,000+",Free,0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up,
306,Tiny Archers,GAME,4.5,80678,Varies with device,"5,000,000+",Free,0,Mature 17+,Action,"May 25, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.OsOs.TinyArchers
307,Metal Soldiers 2,GAME,4.4,153381,Varies with device,"10,000,000+",Free,0,Teen,Action,"June 18, 2018",1.11.2,4.1 and up,https://play.google.com/store/apps/details?id=com.playappking.ametalsoldiers2
308,Runner 3d like,GAME,4.5,559,32M,"100,000+",Free,0,Everyone 10+,Action,"August 3, 2018",1.0.7,4.0 and up,
309,War Robots,GAME,4.6,3073251,33M,"50,000,000+",Free,0,Everyone 10+,Action,"July 25, 2018",4.1.1,4.1 and up,
310,Dinosaur Simulator: Dino World,GAME,4.0,26649,66M,"5,000,000+",Free,0,Teen,Action,"August 5, 2018",1.2,4.2 and up,https://play.google.com/store/apps/details?id=com.hgamesartworks.dinosimulator
311,GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75M,"50,000,000+",Free,0,Teen,Action,"August 1, 2018",2.6.61,4.0.3 and up,https://play.google.com/store/apps/details?id=com.theonegames.gunshipbattle
312,Quiz: Logo game,GAME,4.5,306764,29M,"10,000,000+",Free,0,Everyone,Trivia,"August 3, 2018",6.2,4.0.3 and up,https://play.google.com/store/apps/details?id=lemmingsatwork.quiz
313,Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,https://play.google.com/store/apps/details?id=com.king.candycrushsaga
314,Plants vs. Zombies FREE,GAME,4.4,4067651,69M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 6, 2018",2.2.00,4.1 and up,https://play.google.com/store/apps/details?id=com.ea.game.pvzfree_row
315,Block Puzzle,GAME,4.6,59907,7.8M,"5,000,000+",Free,0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,https://play.google.com/store/apps/details?id=com.Kanaro.Dodoblockpuzzle
316,Helix Jump,GAME,4.2,1500622,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,https://play.google.com/store/apps/details?id=com.shah.helixjump
317,8 Ball Pool,GAME,4.5,14201604,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.eightballpool
318,Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50M,"10,000,000+",Free,0,Everyone,Arcade,"July 20, 2018",2.11.2,4.0.3 and up,https://play.google.com/store/apps/details?id=com.linkdesks.jewellegend
319,Bubble Shooter,GAME,4.5,148990,46M,"10,000,000+",Free,0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,https://play.google.com/store/apps/details?id=com.gdl.Main
320,Solitaire,GAME,4.7,154264,12M,"10,000,000+",Free,0,Everyone,Card,"June 8, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.oig.solitaire
321,Bubble Shooter Genies,GAME,4.5,26985,41M,"5,000,000+",Free,0,Everyone,Casual,"June 4, 2018",1.9.1,4.0.3 and up,https://play.google.com/store/apps/details?id=com.linkdesks.bubblegames.bubbleshooter
322,Blossom Blast Saga,GAME,4.5,1125438,63M,"10,000,000+",Free,0,Everyone,Casual,"July 5, 2018",57.0.8,4.0.3 and up,https://play.google.com/store/apps/details?id=com.king.blossomblast
323,Traffic Racer,GAME,4.5,5387781,53M,"100,000,000+",Free,0,Everyone,Racing,"February 27, 2018",2.5,4.1 and up,https://play.google.com/store/apps/details?id=com.skgames.trafficracer
324,Hill Climb Racing,GAME,4.4,8923847,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb
325,Earn to Die 2,GAME,4.6,1327269,99M,"50,000,000+",Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up,https://play.google.com/store/apps/details?id=com.notdoppler.earntodie2
326,Bubble Shooter 2,GAME,4.3,23043,Varies with device,"5,000,000+",Free,0,Everyone,Arcade,"July 25, 2018",3.5,4.1 and up,https://play.google.com/store/apps/details?id=banbong.tungbong.bubble
327,Candy Bomb,GAME,4.4,42145,20M,"10,000,000+",Free,0,Everyone,Casual;Brain Games,"July 4, 2018",2.9.3181,4.0.3 and up,https://play.google.com/store/apps/details?id=com.AuzPuzzleMatch.CandyBomb
328,Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,https://play.google.com/store/apps/details?id=com.bigduckgames.flow
329,Zombie Catchers,GAME,4.7,990796,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,
330,Gems or jewels ?,GAME,4.7,171448,13M,"10,000,000+",Free,0,Teen,Puzzle,"August 3, 2018",1.0.109,4.0 and up,https://play.google.com/store/apps/details?id=com.jewels.gems.android
331,Angry Birds Rio,GAME,4.4,2610680,46M,"100,000,000+",Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,
332,Candy Crush Jelly Saga,GAME,4.3,1300619,78M,"50,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up,https://play.google.com/store/apps/details?id=com.king.candycrushjellysaga
333,Cut the Rope FULL FREE,GAME,4.4,2123793,49M,"100,000,000+",Free,0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,https://play.google.com/store/apps/details?id=com.zeptolab.ctr.ads
334,Jewels Star: OZ adventure,GAME,4.5,21892,14M,"1,000,000+",Free,0,Everyone,Puzzle,"December 29, 2017",1.3,4.0 and up,https://play.google.com/store/apps/details?id=com.flyairup.matchgame.JewelStarBlaze
335,Hungry Shark Evolution,GAME,4.5,6074627,100M,"100,000,000+",Free,0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up,https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution
336,Power Pop Bubbles,GAME,4.4,104303,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,"August 2, 2018",3.15,4.1 and up,https://play.google.com/store/apps/details?id=bubbles.pop.power
337,Angry Birds Classic,GAME,4.4,5566908,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,
338,Best Fiends - Free Puzzle Game,GAME,4.6,1480182,Varies with device,"10,000,000+",Free,0,Everyone,Casual,"August 2, 2018",5.8.1,Varies with device,https://play.google.com/store/apps/details?id=com.Seriously.BestFiends
339,Hill Climb Racing 2,GAME,4.6,2750645,Varies with device,"100,000,000+",Free,0,Everyone,Racing,"August 2, 2018",1.17.2,4.2 and up,https://play.google.com/store/apps/details?id=com.fingersoft.hcr2
340,Jewels classic Prince,GAME,4.4,47644,15M,"5,000,000+",Free,0,Everyone,Puzzle,"June 15, 2018",2.4.2,4.0 and up,
341,Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,"10,000,000+",Free,0,Everyone,Casual,"July 23, 2018",60,4.1 and up,https://play.google.com/store/apps/details?id=com.fruitheroes.legend
342,Bubble Shooter Space,GAME,4.2,4355,Varies with device,"1,000,000+",Free,0,Everyone,Casual,"July 17, 2017",1.6,2.3 and up,https://play.google.com/store/apps/details?id=com.minigamz.bubbleshooterspace
343,Swamp Attack,GAME,4.4,2119235,70M,"50,000,000+",Free,0,Everyone 10+,Action,"June 29, 2018",3.0.1,4.1 and up,https://play.google.com/store/apps/details?id=com.outfit7.movingeye.swampattack
344,1LINE – One Line with One Touch,GAME,4.6,214878,10M,"10,000,000+",Free,0,Everyone,Board,"August 3, 2018",2.0.4,4.1 and up,https://play.google.com/store/apps/details?id=com.one1line.onetouch.onestroke.dotgame
345,Stick War: Legacy,GAME,4.6,811040,77M,"10,000,000+",Free,0,Teen,Strategy,"May 10, 2018",1.7.04,4.4 and up,https://play.google.com/store/apps/details?id=com.maxgames.stickwarlegacy
346,Bowmasters,GAME,4.7,1536349,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up,https://play.google.com/store/apps/details?id=com.miniclip.bowmasters
347,Magic Tiles 3,GAME,4.5,592504,Varies with device,"50,000,000+",Free,0,Everyone,Music,"August 3, 2018",5.13.007,4.1 and up,https://play.google.com/store/apps/details?id=com.youmusic.magictiles
348,Block Puzzle Classic Legend !,GAME,4.2,17044,4.9M,"5,000,000+",Free,0,Everyone,Puzzle,"April 13, 2018",2.9,2.3.3 and up,https://play.google.com/store/apps/details?id=com.globalclassicgame.brickpuzzlelegend
349,Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"August 3, 2018",1.3.35,4.1 and up,
350,Pixel Art: Color by Number Game,GAME,4.7,1125566,25M,"10,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up,
351,Score! Hero,GAME,4.6,5419676,96M,"100,000,000+",Free,0,Everyone,Sports,"June 13, 2018",1.751,4.4 and up,https://play.google.com/store/apps/details?id=com.firsttouchgames.story
352,Super Jabber Jump 3,GAME,4.3,34494,23M,"5,000,000+",Free,0,Everyone 10+,Arcade,"July 11, 2018",2.5.3182,2.3 and up,https://play.google.com/store/apps/details?id=com.mario.bros.adventure.free
353,Rush,GAME,4.6,260651,51M,"10,000,000+",Free,0,Everyone,Arcade,"February 14, 2018",1.1,4.0 and up,https://play.google.com/store/apps/details?id=com.SingleTap.RushBall
354,Jetpack Joyride,GAME,4.4,4638163,96M,"100,000,000+",Free,0,Everyone 10+,Arcade,"July 19, 2018",1.10.12,4.1 and up,https://play.google.com/store/apps/details?id=com.halfbrick.jetpackjoyride
355,Zombie Tsunami,GAME,4.4,4921409,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami
356,DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468638,Varies with device,"50,000,000+",Free,0,Mature 17+,Action,"July 23, 2018",Varies with device,Varies with device,
357,Word Search,GAME,4.2,344585,Varies with device,"50,000,000+",Free,0,Everyone,Word,"July 2, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.littletreehouse.wordsearchapp
358,Farm Heroes Saga,GAME,4.4,7614407,70M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,https://play.google.com/store/apps/details?id=com.king.farmheroessaga
359,Racing in Car 2,GAME,4.3,234110,38M,"50,000,000+",Free,0,Everyone,Racing,"November 22, 2016",1.0,2.3.3 and up,https://play.google.com/store/apps/details?id=com.ffgames.racingincar2
360,Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"May 22, 2018",1.4.12,4.1 and up,https://play.google.com/store/apps/details?id=com.greenteagames.dogracing3d
361,Rope Hero Return of a Legend,GAME,4.3,9951,96M,"1,000,000+",Free,0,Mature 17+,Arcade,"August 26, 2016",1.0,2.3 and up,
362,Draw a Stickman: EPIC 2 Free,GAME,4.3,213340,24M,"10,000,000+",Free,0,Everyone,Adventure,"June 14, 2018",1.2.1.49,4.0 and up,
363,Agar.io,GAME,4.2,3815614,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up,https://play.google.com/store/apps/details?id=com.miniclip.agar.io
364,Angry Birds Classic,GAME,4.4,5565856,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,
365,UNO ™ & Friends,GAME,4.1,1728557,Varies with device,"50,000,000+",Free,0,Everyone,Card,"September 20, 2017",Varies with device,Varies with device,
366,4 in a Row,GAME,3.8,4257,Varies with device,"500,000+",Free,0,Everyone,Board,"May 13, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.aapbd.fourinarow
367,Bubble Shooter,GAME,4.5,43576,50M,"5,000,000+",Free,0,Everyone,Arcade,"September 13, 2017",4.4,2.3 and up,https://play.google.com/store/apps/details?id=com.gdl.Main
368,Subway Surfers,GAME,4.5,27711703,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
369,Super Mario Run,GAME,3.7,1221896,70M,"100,000,000+",Free,0,Everyone,Action,"July 12, 2018",3.0.11,4.2 and up,https://play.google.com/store/apps/details?id=com.nintendo.zara
370,STARDOM: THE A-LIST,GAME,4.5,152658,29M,"1,000,000+",Free,0,Teen,Adventure,"September 12, 2014",2.1.8,2.1 and up,https://play.google.com/store/apps/details?id=com.glu.stardom
371,Glow Hockey,GAME,4.1,1703479,Varies with device,"100,000,000+",Free,0,Everyone,Arcade,"July 22, 2018",1.3.8,4.1 and up,https://play.google.com/store/apps/details?id=com.natenai.glowhockey
372,Pokémon GO,GAME,4.1,10421284,85M,"100,000,000+",Free,0,Everyone,Adventure,"July 23, 2018",0.111.3,4.4 and up,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo
373,Asphalt 8: Airborne,GAME,4.5,8389714,92M,"100,000,000+",Free,0,Teen,Racing,"July 4, 2018",3.7.1a,4.0.3 and up,
374,PAC-MAN,GAME,4.2,685450,37M,"100,000,000+",Free,0,Everyone,Arcade,"May 15, 2018",6.6.3,4.1 and up,https://play.google.com/store/apps/details?id=com.namcobandaigames.pacmantournaments
375,Lep's World 2 🍀🍀,GAME,4.3,798522,57M,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 7, 2018",1.9.8.0,4.1 and up,https://play.google.com/store/apps/details?id=at.ner.lepsWorld2
376,Law of Creation: A Playable Manga,GAME,4.5,13118,47M,"500,000+",Free,0,Teen,Adventure,"June 25, 2018",1.0.19,4.0.3 and up,
377,Real City Car Driver,GAME,3.7,413609,22M,"10,000,000+",Free,0,Mature 17+,Racing,"August 1, 2018",2.8,4.1 and up,https://play.google.com/store/apps/details?id=com.ScnStudios.RealCityCarDriver3D
378,Rolling Sky,GAME,4.5,1117212,50M,"50,000,000+",Free,0,Everyone,Board,"August 3, 2018",Varies with device,4.0.3 and up,https://play.google.com/store/apps/details?id=com.dancinghumo.rollingsky
379,4 in a row,GAME,4.3,47698,4.1M,"5,000,000+",Free,0,Everyone,Board,"April 12, 2016",1.0.21,1.5 and up,https://play.google.com/store/apps/details?id=com.xraystudiogame.fourinrow
380,Four In A Line Free,GAME,4.3,133195,11M,"5,000,000+",Free,0,Everyone,Board,"June 11, 2018",1.58,4.1 and up,https://play.google.com/store/apps/details?id=uk.co.aifactory.fialfree
381,Alto's Adventure,GAME,4.6,515240,63M,"10,000,000+",Free,0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up,https://play.google.com/store/apps/details?id=com.noodlecake.altosadventure
382,Draw A Stickman,GAME,3.4,29265,17M,"1,000,000+",Free,0,Everyone,Adventure,"May 19, 2017",1.1.0,4.0.3 and up,https://play.google.com/store/apps/details?id=com.hitcents.drawastickman
383,Zombie Tsunami,GAME,4.4,4918776,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami
384,Four In A Line,GAME,3.8,22191,3.0M,"1,000,000+",Free,0,Everyone,Board,"May 4, 2015",1.10,2.3 and up,https://play.google.com/store/apps/details?id=com.mksoftsi.connect4
385,Cardi B Piano Game,GAME,3.1,50,7.4M,"10,000+",Free,0,Everyone,Music,"November 15, 2017",2.0,4.0 and up,
386,MORTAL KOMBAT X,GAME,4.4,3039889,18M,"10,000,000+",Free,0,Mature 17+,Action,"June 27, 2018",1.18.2,4.0 and up,
387,► MultiCraft ― Free Miner! 👍,GAME,4.3,1305050,Varies with device,"50,000,000+",Free,0,Everyone 10+,Adventure,"July 29, 2018",1.1.11.11,4.1 and up,
388,Pixel Gun 3D: Survival shooter & Battle Royale,GAME,4.5,4487182,55M,"50,000,000+",Free,0,Teen,Action,"July 4, 2018",15.1.2,4.0.3 and up,
389,B-52 Spirits of Glory Deluxe,GAME,4.3,12,29M,100+,Paid,$0.99,Everyone,Arcade,"September 2, 2017",1.5.9,2.3 and up,https://play.google.com/store/apps/details?id=com.NewHopeGames.B52SpiritsofGloryDeluxe
390,Hungry Shark Evolution,GAME,4.5,6071542,100M,"100,000,000+",Free,0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up,https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution
391,Perfect Piano,GAME,4.2,828489,Varies with device,"50,000,000+",Free,0,Everyone,Music,"August 4, 2018",Varies with device,Varies with device,https://play.google.com/store/apps/details?id=com.ma.perfectpiano
392,B-Grade Renegade,GAME,3.9,24,64M,"1,000+",Paid,$1.99,Teen,Action,"October 17, 2017",0.8.17,3.2 and up,
393,CURSUM B,GAME,,30,26M,500+,Paid,$0.99,Everyone,Racing,"June 20, 2017",1.0.0,2.3 and up,
394,Critical Ops,GAME,4.4,1397944,50M,"10,000,000+",Free,0,Teen,Action,"July 31, 2018",0.9.10.f96,4.4 and up,
395,Hill Climb Racing,GAME,4.4,8921451,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb
396,Hitman Sniper,GAME,4.6,408292,29M,"10,000,000+",Paid,$0.99,Mature 17+,Action,"July 12, 2018",1.7.110758,4.1 and up,https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid
397,FRONTLINE COMMANDO: D-DAY,GAME,4.5,1736105,14M,"10,000,000+",Free,0,Mature 17+,Action,"May 16, 2014",3.0.4,2.1 and up,https://play.google.com/store/apps/details?id=com.glu.flcn_new
398,Fruit Ninja®,GAME,4.3,5091448,41M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.6.7.487220,4.1 and up,https://play.google.com/store/apps/details?id=com.halfbrick.fruitninjafree
399,Crossy Road,GAME,4.5,4229977,60M,"100,000,000+",Free,0,Everyone,Action,"August 1, 2018",3.1.0,5.0 and up,https://play.google.com/store/apps/details?id=com.yodo1.crossyroad
400,Temple Run 2,GAME,4.3,8116142,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,https://play.google.com/store/apps/details?id=com.imangi.templerun2
401,Beach Buggy Blitz,GAME,4.2,640974,47M,"50,000,000+",Free,0,Everyone,Racing,"June 5, 2018",1.5,4.0.3 and up,https://play.google.com/store/apps/details?id=com.vectorunit.yellow
